index,NMId,ObsRPShape,Poros,Darcy,ConcIn,PvIn,pH,IonStr,SaltType,ColumnLWRatio,PartDensity,PartIEP,pHIEPDist,PartZeta,CollecZeta,PartDiam,CollecDiam,PartCollSizeRatio,Coating,ConcHA,TypeNOM,Hamaker,Dispersivity,NanoSize,mbEffluent,mbRetained,mbEffluent_norm,mbRetained_norm
27,TiO2,HE,4.60E-01,1.90E-04,2.00E-01,6,7,1,KCl,5,4.51E+03,6.2,0.8,-27.04,-41.7,1.35E-06,2.75E-04,4.92E-03,None,0,None,,,0,0,1.03,0,1
28,TiO2,HE,4.60E-01,9.50E-04,1.00E-01,6,5,1,KCl,5,4.51E+03,6.2,-1.2,33.35,-14.8,2.90E-07,2.75E-04,1.05E-03,None,0,None,,,0,0.11,0.93,0.106,0.894
29,TiO2,EXP,4.60E-01,9.50E-04,2.00E-01,6,5,1,KCl,5,4.51E+03,6.2,-1.2,33.35,-14.8,2.87E-07,2.75E-04,1.04E-03,None,0,None,,,0,0.33,0.62,0.347,0.653
30,TiO2,HE,4.60E-01,9.50E-04,1.00E-01,6,7,1,KCl,5,4.51E+03,6.2,0.8,-21.62,-22.3,1.19E-06,2.75E-04,4.32E-03,None,0,None,,,0,0,0.93,0,1
31,TiO2,HE,4.60E-01,9.50E-04,2.00E-01,6,7,1,KCl,5,4.51E+03,6.2,0.8,-21.62,-22.3,1.35E-06,2.75E-04,4.92E-03,None,0,None,,,0,0,0.95,0,1
32,TiO2,HE,4.60E-01,1.90E-04,1.00E-01,6,5,10,KCl,5,4.51E+03,6.2,-1.2,33.35,-9.1,1.07E-06,2.75E-04,3.88E-03,None,0,None,,,0,0,1.03,0,1
33,TiO2,HE,4.60E-01,1.90E-04,2.00E-01,6,5,10,KCl,5,4.51E+03,6.2,-1.2,33.35,-9.1,1.04E-06,2.75E-04,3.80E-03,None,0,None,,,0,0,1.05,0,1
34,TiO2,HE,4.60E-01,1.90E-04,1.00E-01,6,7,10,KCl,5,4.51E+03,6.2,0.8,-21.62,-22.2,1.34E-06,2.75E-04,4.87E-03,None,0,None,,,0,0,0.98,0,1
35,TiO2,HE,4.60E-01,1.90E-04,2.00E-01,6,7,10,KCl,5,4.51E+03,6.2,0.8,-21.62,-22.2,1.28E-06,2.75E-04,4.65E-03,None,0,None,,,0,0,0.97,0,1
36,TiO2,EXP,4.60E-01,9.50E-04,1.00E-01,6,5,10,KCl,5,4.51E+03,6.2,-1.2,33.35,-9.1,1.07E-06,2.75E-04,3.88E-03,None,0,None,,,0,0,1.07,0,1
37,TiO2,HE,4.60E-01,9.50E-04,2.00E-01,6,5,10,KCl,5,4.51E+03,6.2,-1.2,33.35,-9.1,1.04E-06,2.75E-04,3.80E-03,None,0,None,,,0,0.04,1.07,0.036,0.964
38,TiO2,HE,4.60E-01,9.50E-04,1.00E-01,6,7,10,KCl,5,4.51E+03,6.2,0.8,-21.62,-22.2,1.34E-06,2.75E-04,4.87E-03,None,0,None,,,0,0,1.09,0,1
39,TiO2,HE,4.60E-01,9.50E-04,2.00E-01,6,7,10,KCl,5,4.51E+03,6.2,0.8,-21.62,-22.2,1.28E-06,2.75E-04,4.65E-03,None,0,None,,,0,0,1.07,0,1
40,TiO2,SIR,3.80E-01,2.35E-03,5.00E-02,80,4.5,10,NaCl,20,4.51E+03,5.8,-1.3,29.1,-22.2,5.00E-07,2.00E-04,2.50E-03,None,0,None,,,0,0,1,0,1
41,TiO2,SIR,3.80E-01,5.00E-04,5.00E-02,80,4.5,10,NaCl,20,4.51E+03,5.8,-1.3,29.1,-22.2,5.00E-07,2.00E-04,2.50E-03,None,0,None,,,0,0,1,0,1
42,TiO2,SIR,3.80E-01,1.13E-03,5.00E-02,80,4.5,10,NaCl,20,4.51E+03,5.8,-1.3,29.1,-22.2,5.00E-07,2.00E-04,2.50E-03,None,0,None,,,0,0,1,0,1
43,TiO2,,4.20E-01,4.63E-05,5.00E-02,4.5,5,0.1,NaCl,5,4.51E+03,6,-1,23.7,31.9,4.53E-07,5.10E-04,8.88E-04,IronOxide,0.00E+00,None,,,,0.062,0.8449,0.068,0.932
44,TiO2,,4.20E-01,4.63E-05,5.00E-02,4.5,5,0.1,NaCl,5,4.51E+03,6,-1,-45.6,31.9,4.71E-07,5.10E-04,9.24E-04,IronOxide,1.00E-03,SRHA,,,,,,,
45,TiO2,,4.20E-01,4.63E-05,5.00E-02,4.5,5,0.1,NaCl,5,4.51E+03,6,-1,-49.64,31.9,4.71E-07,5.10E-04,9.24E-04,IronOxide,1.00E-02,SRHA,,,,,,,
46,TiO2,,4.20E-01,4.63E-05,5.00E-02,4.5,5,1,NaCl,5,4.51E+03,6,-1,23.1,26.16,9.41E-07,5.10E-04,1.85E-03,IronOxide,0.00E+00,None,,,,0.0734,0.8257,0.082,0.918
47,TiO2,SIR,4.20E-01,4.63E-05,5.00E-02,4.5,5,1,NaCl,5,4.51E+03,6,-1,-45.65,26.16,4.88E-07,5.10E-04,9.57E-04,IronOxide,1.00E-03,SRHA,,,,0.0577,0.9201,0.059,0.941
48,TiO2,HE,4.20E-01,4.63E-05,5.00E-02,4.5,5,1,NaCl,5,4.51E+03,6,-1,-49.18,26.16,5.05E-07,5.10E-04,9.90E-04,IronOxide,1.00E-02,SRHA,,,,0.6515,0.2803,0.699,0.301
49,TiO2,,4.20E-01,4.63E-05,5.00E-02,4.5,5,10,NaCl,5,4.51E+03,6,-1,21.6,23.47,1.08E-06,5.10E-04,2.11E-03,IronOxide,0.00E+00,None,,,,0.0507,0.8302,0.058,0.942
50,TiO2,SIR,4.20E-01,4.63E-05,5.00E-02,4.5,5,10,NaCl,5,4.51E+03,6,-1,-49.24,23.47,4.92E-07,5.10E-04,9.65E-04,IronOxide,1.00E-03,SRHA,,,,0.0621,0.8901,0.065,0.935
51,TiO2,HE,4.20E-01,4.63E-05,5.00E-02,4.5,5,10,NaCl,5,4.51E+03,6,-1,-48.08,23.47,4.83E-07,5.10E-04,9.47E-04,IronOxide,1.00E-02,SRHA,,,,0.4419,0.4711,0.484,0.516
52,TiO2,HE,4.20E-01,4.63E-05,5.00E-02,4.5,5,0.01,CaCl2,5,4.51E+03,6,-1,26.32,33.31,4.54E-07,5.10E-04,8.90E-04,IronOxide,0.00E+00,None,,,,0.1241,0.8145,0.132,0.868
53,TiO2,,4.20E-01,4.63E-05,5.00E-02,4.5,5,0.01,CaCl2,5,4.51E+03,6,-1,-34.59,33.31,4.82E-07,5.10E-04,9.44E-04,IronOxide,1.00E-03,SRHA,,,,,,,
54,TiO2,,4.20E-01,4.63E-05,5.00E-02,4.5,5,0.01,CaCl2,5,4.51E+03,6,-1,-41.56,33.31,4.74E-07,5.10E-04,9.30E-04,IronOxide,1.00E-02,SRHA,,,,,,,
55,TiO2,EXP,4.20E-01,4.63E-05,5.00E-02,4.5,5,0.05,CaCl2,5,4.51E+03,6,-1,24.28,30.82,4.63E-07,5.10E-04,9.08E-04,IronOxide,0.00E+00,None,,,,0.148,0.8022,0.156,0.844
56,TiO2,,4.20E-01,4.63E-05,5.00E-02,4.5,5,0.05,CaCl2,5,4.51E+03,6,-1,-27.96,30.82,4.68E-07,5.10E-04,9.17E-04,IronOxide,1.00E-03,SRHA,,,,,,,
57,TiO2,,4.20E-01,4.63E-05,5.00E-02,4.5,5,0.05,CaCl2,5,4.51E+03,6,-1,-37.32,30.82,4.81E-07,5.10E-04,9.43E-04,IronOxide,1.00E-02,SRHA,,,,,,,
58,TiO2,HE,4.20E-01,4.63E-05,5.00E-02,4.5,5,0.1,CaCl2,5,4.51E+03,6,-1,20.53,27.21,5.36E-07,5.10E-04,1.05E-03,IronOxide,0.00E+00,None,,,,0.1675,0.6964,0.194,0.806
